"stone","zone","tomb","form","material","ulx","uly","lrx","lry","condition"
"S1","Parte Antica",178,"PLB","stone",61.963885,857.298979,71.247226,869.154664,"excellent"
"S2","Parte Antica",180,"PLW","stone",71.262419,889.4898740000001,78.135853,900.5789910000001,"excellent"
"S3","Parte Antica",179,"PLW","stone",78.1813,908.4878759999999,85.862377,920.7664629999999,"excellent"
"S4","Parte Antica",,"PLW","stone",159.81663,1117.797412,165.860873,1128.991321,"excellent"
"S5","Parte Antica",176,"PLG","stone",354.653541,1014.008163,368.25142700000004,1027.60628,"excellent"
"S6","Parte Antica",177,"LEDG","stone",381.990414,1008.726181,398.10574399999996,1028.292081,"excellent"
"S7","Parte Antica",181,"LEDG","stone",469.507324,968.47914,485.94512699999996,992.826298,"good"
"S8","Parte Antica",175,"PED","stone",532.604506,881.5306909999999,548.847029,898.7615129999999,"good"
"S9","Parte Antica",140,"PED","stone",639.993113,896.688035,660.851747,913.5619790000001,"bad"
"S10","Parte Antica",139,"COL","stone",686.095636,858.506253,695.810602,866.4540030000001,"excellent"
"S11","Parte Antica",,"PLW","stone",398.424018,1074.211515,406.834792,1080.2289110000002,"good"
"S12","Parte Antica",,"HEAD","stone",801.67691,511.146437,808.538802,521.598224,"excellent"
"S13","Parte Antica",897,"HEAD","stone",815.36824,490.29569200000003,821.447178,499.366354,"excellent"
"S14","Parte Antica",564,"HEAD","stone",775.74912,507.78379199999995,783.746159,516.379004,"good"
"S16","Parte Antica",138,"COL","stone",602.699473,434.797677,644.813156,474.123881,"reasonable"
"S17","Parte Antica",128,"PED","stone",283.642378,666.964658,294.123264,677.448646,"reasonable"
"S18","Parte Antica",,"PLG","stone",307.88968,668.927447,322.421352,684.134524,"bad"
"S19","Parte Antica",141,"CHEST","stone",310.754622,707.1076029999999,335.762091,729.512158,"bad"
"S20","Parte Antica",112,"LEDG","stone",288.497169,688.774966,306.175926,709.433993,"good"
"S21","Parte Antica",134,"HEAD","stone",267.874056,693.66971,284.477592,707.823723,"excellent"
"S22","Parte Antica",131,"HEAD","stone",272.639867,727.711121,294.48402799999997,745.761624,"reasonable"
"S23","Parte Antica",114,"CHEST","stone",237.711686,723.4116200000001,260.147084,743.209023,"excellent"
"S24","Parte Antica",118,"PLG","stone",245.535987,757.976073,265.490819,774.53288,"bad"
"S25","Parte Antica",152,"LEDG","stone",218.319176,749.0674349999999,237.991166,771.524043,"reasonable"
"S27","Parte Antica",135,"CHEST","stone",148.264457,803.962333,175.885961,823.070599,"good"
"S29","Parte Antica",151,"CROSS","stone",168.526372,993.2053539999999,187.33641400000002,1022.139445,"reasonable"
"S30","Parte Antica",171,"HEAD","stone",201.49373,1051.764805,210.379782,1055.864272,"excellent"
"S31","Parte Antica",159,"HEAD","stone",194.437022,1061.618248,204.827268,1067.8202529999999,"excellent"
"S32","Parte Antica",173,"HEAD","stone",212.97464,1060.49348,223.90168799999998,1065.437253,"excellent"
"S33","Parte Antica",153,"PLG","stone",191.39766,992.012649,202.028984,1004.434853,"bad"
"S34","Parte Antica",110,"HEAD","stone",194.734458,968.013059,205.896473,977.815878,"reasonable"
"S35","Parte Antica",154,"PLG","stone",210.45502,981.0961159999999,226.456727,1002.075919,"reasonable"
"S36","Parte Antica",155,"HEAD","stone",227.242275,974.747846,241.20344500000002,986.388427,"reasonable"
"S37","Parte Antica",157,"LEDG","stone",256.399247,973.257018,277.554409,1003.51914,"bad"
"S38","Parte Antica",158,"LEDG","stone",277.220927,971.486863,295.54656600000004,993.256536,"bad"
"S39","Parte Antica",160,"LEDG","stone",300.285211,958.994404,321.631596,992.488061,"reasonable"
"S40","Parte Antica",161,"PED","stone",317.653579,944.736522,333.185122,960.270745,"good"
"S41","Parte Antica",169,"PED","stone",366.230637,923.786204,380.751214,938.985287,"good"
"S42","Parte Antica",120,"CHEST","stone",207.118829,929.626652,224.387472,953.1922930000001,"reasonable"
"S43","Parte Antica",117,"LEDG","stone",227.453371,939.753565,240.71840500000002,952.273366,"bad"
"S44","Parte Antica",,"PED","stone",186.460936,878.636158,198.261884,888.737749,"reasonable"
"S46","Parte Antica",142,"PED","stone",217.355214,813.98287,230.38715499999998,825.8151230000001,"reasonable"
"S47","Parte Antica",150,"PLG","stone",224.083353,855.4284680000001,236.45549899999997,867.800615,"reasonable"
"S48","Parte Antica",113,"PLG","stone",245.657194,846.8693579999999,259.71592,857.338188,"bad"
"S49","Parte Antica",148,"COL","stone",238.564889,801.599764,250.14844,809.643516,"reasonable"
"S50","Parte Antica",124,"PED","stone",268.46875,819.645925,279.34882,830.526244,"reasonable"
"S51","Parte Antica",127,"PLG","stone",264.48897,785.6688879999999,282.151211,802.975684,"reasonable"
"S52","Parte Antica",163,"LEDG","stone",291.970467,836.544938,314.549108,858.945579,"bad"
"S53","Parte Antica",116,"HEAD","stone",301.420553,827.605546,310.775718,834.5439630000001,"good"
"S54","Parte Antica",172,"HEAD","stone",306.836062,884.480687,319.83279300000004,894.940119,"reasonable"
"S55","Parte Antica",119,"HEAD","stone",332.122883,870.0347469999999,341.794709,879.0320469999999,"good"
"S56","Parte Antica",109,"PLG","stone",296.620432,774.632865,312.307299,789.866679,"bad"
"S57","Parte Antica",132,"PLB","stone",321.784169,758.726024,336.635675,773.5804410000001,"excellent"
"S58","Parte Antica",115,"PLG","stone",365.540017,842.985231,382.090488,856.1688710000001,"bad"
"S59","Parte Antica",136,"PED","stone",369.595162,730.1600639999999,383.22623400000003,744.143919,"reasonable"
"S60","Parte Antica",137,"PED","stone",387.948153,730.189393,394.934433,737.178756,"reasonable"
"S61","Parte Antica",133,"COL","stone",390.539694,785.056818,400.805783,795.574036,"reasonable"
"S62","Parte Antica",111,"HEAD","stone",396.820302,802.790609,406.171366,812.3959609999999,"bad"
"S63","Parte Antica",126,"HEAD","stone",490.913822,831.591354,508.92443599999996,851.240879,"good"
"S64","Parte Antica",162,"LEDG","stone",404.010454,771.4615699999999,420.11526899999996,789.565655,"good"
"S65","Parte Antica",156,"CHEST","stone",415.993874,758.079613,436.460218,776.490414,"reasonable"
"S66","Parte Antica",146,"LEDG","stone",436.063332,750.2480350000001,452.609741,768.015457,"good"
"S67","Parte Antica",129,"CHEST","stone",389.93821,698.771814,414.162909,720.651323,"good"
"S69","Parte Antica",147,"PED","stone",475.754654,717.99418,486.525059,728.7772640000001,"reasonable"
"S70","Parte Antica",130,"PED","stone",534.557113,765.765981,545.831479,777.2616350000001,"good"
"S71","Parte Antica",170,"PED","stone",564.70558,805.536428,574.217144,815.9242859999999,"reasonable"
"S72","Parte Antica",145,"LEDG","stone",421.782337,620.216181,441.12016,640.195321,"reasonable"
"S73","Parte Antica",149,"LEDG","stone",446.05727,639.202102,459.454322,659.320058,"reasonable"
"S74","Parte Antica",121,"COL","stone",557.427134,619.886252,565.374884,629.601219,"reasonable"
"S75","Parte Antica",123,"PED","stone",573.683931,744.143422,584.932694,754.533013,"reasonable"
"S76","Parte Antica",122,"COL","stone",621.777392,805.53652,627.760081,813.291768,"good"
"S77","Parte Antica",143,"LEDG","stone",599.795278,664.570565,617.790774,676.4657,"reasonable"
"S78","Parte Antica",144,"CHEST","stone",607.332563,741.565061,620.641681,757.2481359999999,"good"
"S79","Parte Antica",164,"LEDG","stone",629.746767,765.318644,642.310739,785.196326,"good"
"S80","Parte Antica",165,"LEDG","stone",638.463654,504.000999,650.773231,520.385101,"reasonable"
"S82","Parte Antica",168,"LEDG","stone",645.848445,582.662967,659.957794,601.634078,"reasonable"
"S83","Parte Antica",167,"LEDG","stone",649.54084,622.454226,665.478746,645.5870630000001,"reasonable"
"S84","Parte Antica",,"COL","stone",688.181264,666.348072,697.992481,676.159289,"reasonable"
"S85","Parte Antica",174,"HEAD","stone",655.725607,747.875223,671.786506,759.940747,"excellent"
"S86","Zona Vecchia",,"CHEST","stone",895.853274,234.529092,908.100618,246.46070999999995,"reasonable"
"S87","Zona Vecchia",,"HEAD","stone",920.473058,258.09391800000003,929.643024,264.18136400000003,"excellent"
"S88","Zona Vecchia",962,"HEAD","stone",929.115955,252.72232299999996,935.472285,256.78919299999995,"good"
"S89","Zona Vecchia",1482,"HEAD","stone",937.694799,247.301015,947.608817,253.35881100000006,"excellent"
"S90","Zona Vecchia",,"HEAD","stone",960.27722,247.80946500000005,968.390179,252.35607900000002,"reasonable"
"S91","Zona Vecchia",921,"LEDG","stone",979.288346,253.46000100000003,986.249848,264.34463000000005,"good"
